ticker,action,reason,price,target_weight,target_value,current_shares,target_shares,delta_shares,raw_limit_price,limit_price,order_value,current_value,current_weight,drift_abs,drift_threshold,drift_ok
AMZN,SKIP,below_drift_threshold,265.82,0.002945,3428.67,0,13,13,266.085827,266.09,3455.66,0.0,0.0,0.002945,0.01,False
C,SKIP,below_drift_threshold,125.45,0.045701,53206.7,425,424,-1,125.32455,125.32,125.45,53316.25,0.045795,9.4e-05,0.01,False
CAT,SKIP,below_drift_threshold,904.655,0.055202,64268.09,70,71,1,905.559655,905.56,904.65,63325.85,0.054393,0.000809,0.01,False
FCX,BUY,rebalance_to_target,66.03,0.050451,58736.81,0,890,890,66.096029,66.1,58766.7,0.0,0.0,0.050451,0.01,True
GE,SKIP,below_drift_threshold,294.26,0.017197,20021.35,67,68,1,294.55426,294.56,294.26,19715.42,0.016934,0.000263,0.01,False
GS,SKIP,below_drift_threshold,939.13,0.04095,47675.42,50,51,1,940.06913,940.07,939.13,46956.5,0.040332,0.000618,0.01,False
INTC,SKIP,below_drift_threshold,118.029,0.069454,80860.77,671,685,14,118.147029,118.15,1652.41,79197.46,0.068025,0.001429,0.01,False
MU,BUY,rebalance_to_target,790.75,0.074204,86390.88,72,109,37,791.54075,791.55,29257.75,56934.0,0.048903,0.025301,0.01,True
NEM,SKIP,below_drift_threshold,118.52,0.031449,36614.02,306,309,3,118.63852,118.64,355.56,36267.12,0.031151,0.000298,0.01,False
QQQ,SKIP,below_drift_threshold,706.795,0.6,698540.89,986,988,2,707.501795,707.51,1413.59,696899.87,0.59859,0.00141,0.03,False
TSLA,BUY,rebalance_to_target,433.45,0.012447,14491.23,0,33,33,433.883462,433.89,14303.85,0.0,0.0,0.012447,0.01,True
