ticker,val_accuracy,baseline_val,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
GOOGL,57.346,57.346,8,0.08,0.7,0.8,1
GOOGL,57.346,57.346,8,0.08,0.7,0.6,5
GOOGL,57.346,57.346,8,0.08,0.7,0.6,3
GOOGL,57.346,57.346,8,0.08,0.7,0.6,1
GOOGL,57.346,57.346,8,0.05,0.85,0.8,5
GOOGL,57.346,57.346,8,0.05,0.85,0.8,3
GOOGL,57.346,57.346,8,0.05,0.85,0.8,1
GOOGL,57.346,57.346,8,0.05,0.85,0.6,5
GOOGL,57.346,57.346,8,0.05,0.85,0.6,3
GOOGL,57.346,57.346,8,0.05,0.85,0.6,1
GOOGL,57.346,57.346,8,0.05,0.7,0.8,5
GOOGL,57.346,57.346,8,0.05,0.7,0.8,3
GOOGL,57.346,57.346,8,0.05,0.7,0.8,1
GOOGL,57.346,57.346,8,0.05,0.7,0.6,5
GOOGL,57.346,57.346,8,0.05,0.7,0.6,3
GOOGL,57.346,57.346,8,0.05,0.7,0.6,1
GOOGL,57.346,57.346,6,0.05,0.85,0.6,3
GOOGL,57.346,57.346,6,0.05,0.85,0.6,1
GOOGL,57.346,57.346,6,0.05,0.7,0.8,5
GOOGL,57.346,57.346,4,0.08,0.7,0.6,5
GOOGL,57.346,57.346,4,0.08,0.7,0.6,1
GOOGL,57.346,57.346,4,0.05,0.85,0.8,5
GOOGL,57.346,57.346,4,0.05,0.85,0.8,3
GOOGL,57.346,57.346,4,0.05,0.85,0.8,1
GOOGL,57.346,57.346,4,0.05,0.85,0.6,5
GOOGL,57.346,57.346,4,0.05,0.85,0.6,3
GOOGL,57.346,57.346,4,0.05,0.85,0.6,1
GOOGL,57.346,57.346,4,0.05,0.7,0.8,5
GOOGL,57.346,57.346,4,0.05,0.7,0.8,3
GOOGL,57.346,57.346,4,0.05,0.7,0.8,1
GOOGL,57.346,57.346,4,0.05,0.7,0.6,5
GOOGL,57.346,57.346,4,0.05,0.7,0.6,3
GOOGL,57.346,57.346,4,0.05,0.7,0.6,1
GOOGL,57.346,57.346,4,0.03,0.85,0.8,5
GOOGL,57.346,57.346,4,0.03,0.85,0.8,3
GOOGL,57.346,57.346,4,0.03,0.85,0.8,1
GOOGL,57.346,57.346,4,0.03,0.85,0.6,5
GOOGL,57.346,57.346,4,0.03,0.85,0.6,3
GOOGL,57.346,57.346,4,0.03,0.85,0.6,1
GOOGL,57.346,57.346,4,0.03,0.7,0.8,5
GOOGL,57.346,57.346,4,0.03,0.7,0.8,3
GOOGL,57.346,57.346,4,0.03,0.7,0.8,1
GOOGL,57.346,57.346,4,0.03,0.7,0.6,5
GOOGL,57.346,57.346,4,0.08,0.7,0.6,3
GOOGL,57.346,57.346,4,0.08,0.7,0.8,1
GOOGL,57.346,57.346,6,0.05,0.7,0.8,3
GOOGL,57.346,57.346,4,0.08,0.7,0.8,3
GOOGL,57.346,57.346,6,0.05,0.7,0.8,1
GOOGL,57.346,57.346,6,0.05,0.7,0.6,5
GOOGL,57.346,57.346,6,0.05,0.7,0.6,3
GOOGL,57.346,57.346,6,0.05,0.7,0.6,1
GOOGL,57.346,57.346,6,0.03,0.85,0.8,5
GOOGL,57.346,57.346,6,0.03,0.85,0.8,3
GOOGL,57.346,57.346,6,0.03,0.85,0.8,1
GOOGL,57.346,57.346,6,0.03,0.85,0.6,5
GOOGL,57.346,57.346,6,0.03,0.85,0.6,3
GOOGL,57.346,57.346,6,0.03,0.85,0.6,1
GOOGL,57.346,57.346,6,0.03,0.7,0.8,5
GOOGL,57.346,57.346,6,0.03,0.7,0.8,3
GOOGL,57.346,57.346,6,0.03,0.7,0.8,1
GOOGL,57.346,57.346,6,0.03,0.7,0.6,5
GOOGL,57.346,57.346,6,0.03,0.7,0.6,3
GOOGL,57.346,57.346,6,0.03,0.7,0.6,1
GOOGL,57.346,57.346,4,0.08,0.85,0.8,5
GOOGL,57.346,57.346,4,0.08,0.85,0.8,3
GOOGL,57.346,57.346,4,0.08,0.85,0.8,1
GOOGL,57.346,57.346,4,0.08,0.85,0.6,5
GOOGL,57.346,57.346,4,0.08,0.85,0.6,3
GOOGL,57.346,57.346,4,0.08,0.85,0.6,1
GOOGL,57.346,57.346,4,0.08,0.7,0.8,5
GOOGL,57.346,57.346,8,0.08,0.85,0.8,5
