feature,family,target,target_col,horizon,n_days,mean_ic,std_ic,t_stat,hit_rate,abs_mean_ic,abs_t_stat,preferred_direction
factor_liquidity_dollar_vol_20d,factor_,sector_excess,fwd_sector_excess_5,5,4095,-0.01671861939269508,0.09738393045738379,-10.98601190073787,0.4295482295482295,0.01671861939269508,10.98601190073787,low_is_good
xs_rank_market_factor_liquidity_dollar_vol_20d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,-0.01647647555655849,0.09634185019840436,-10.949348908700863,0.43010490363503295,0.01647647555655849,10.949348908700863,low_is_good
xs_rank_market_factor_illiquidity_amihud_20d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,0.01637018950055965,0.11492418905310507,9.119713985020313,0.55720907538424,0.01637018950055965,9.119713985020313,high_is_good
factor_illiquidity_amihud_20d,factor_,sector_excess,fwd_sector_excess_5,5,4094,0.01636776630290336,0.11633583863560348,9.002223889845762,0.5569125549584758,0.01636776630290336,9.002223889845762,high_is_good
dist_ma5,dist_,sector_excess,fwd_sector_excess_5,5,4095,-0.016110599447586065,0.12420168646776392,-8.300631998035175,0.4547008547008547,0.016110599447586065,8.300631998035175,low_is_good
ret_3d,ret_,sector_excess,fwd_sector_excess_5,5,4096,-0.015154932913577362,0.1243685290062135,-7.7987229906087725,0.460205078125,0.015154932913577362,7.7987229906087725,low_is_good
dist_ma10,dist_,sector_excess,fwd_sector_excess_5,5,4090,-0.014907311999634631,0.12726402349179897,-7.491268195677469,0.4650366748166259,0.014907311999634631,7.491268195677469,low_is_good
ret_5d,ret_,sector_excess,fwd_sector_excess_5,5,4094,-0.014019651465462815,0.12459776253557625,-7.199476071911391,0.4650708353688324,0.014019651465462815,7.199476071911391,low_is_good
xs_rank_market_ret_5d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4094,-0.014019651465462815,0.12459776253557625,-7.199476071911391,0.4650708353688324,0.014019651465462815,7.199476071911391,low_is_good
ret_vs_spy_5d,ret_,sector_excess,fwd_sector_excess_5,5,4094,-0.014006584759372675,0.12460159673149096,-7.192544626232075,0.46555935515388375,0.014006584759372675,7.192544626232075,low_is_good
ret_vs_qqq_5d,ret_,sector_excess,fwd_sector_excess_5,5,4094,-0.01398657224152536,0.12460446770139652,-7.182102480684445,0.46555935515388375,0.01398657224152536,7.182102480684445,low_is_good
xs_rank_sector_factor_illiquidity_amihud_20d,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,0.014305883171904895,0.12925520918297817,7.08607228719456,0.5520858746035618,0.014305883171904895,7.08607228719456,high_is_good
xs_rank_sector_ret_5d,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,-0.015370487919351347,0.14322143166944207,-6.870978702276345,0.4666991949255916,0.015370487919351347,6.870978702276345,low_is_good
ret_vs_sector_5d,ret_,sector_excess,fwd_sector_excess_5,5,4094,-0.01499409159106501,0.14371517442146597,-6.675617619386247,0.4650708353688324,0.01499409159106501,6.675617619386247,low_is_good
sector_rs_slope_5d,sector_,sector_excess,fwd_sector_excess_5,5,4094,-0.01496234734860169,0.14370000642387118,-6.662187698613559,0.4670249145090376,0.01496234734860169,6.662187698613559,low_is_good
ret_1d,ret_,sector_excess,fwd_sector_excess_5,5,4098,-0.012386006235229017,0.1216121378094686,-6.519891197255823,0.46412884333821375,0.012386006235229017,6.519891197255823,low_is_good
xs_rank_sector_factor_liquidity_dollar_vol_20d,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,-0.011518571158082087,0.1143085362738642,-6.4514733129614505,0.46474749939009513,0.011518571158082087,6.4514733129614505,low_is_good
ret_vs_sector_1d,ret_,sector_excess,fwd_sector_excess_5,5,4098,-0.01301095664444366,0.13928403909595166,-5.979899075570382,0.4668130795510005,0.01301095664444366,5.979899075570382,low_is_good
macd_hist,macd_,sector_excess,fwd_sector_excess_5,5,4098,-0.010529472643510927,0.11425952850141194,-5.899295760772819,0.46266471449487556,0.010529472643510927,5.899295760772819,low_is_good
vwap_dist,vwap_,sector_excess,fwd_sector_excess_5,5,4080,-0.011842890260004008,0.13107191705451782,-5.771359600602482,0.4803921568627451,0.011842890260004008,5.771359600602482,low_is_good
vol_trend_20_60,vol_,sector_excess,fwd_sector_excess_5,5,4090,-0.008747938430046018,0.09695465239936939,-5.770304320479133,0.46919315403422984,0.008747938430046018,5.770304320479133,low_is_good
uptick_ratio,uptick_,sector_excess,fwd_sector_excess_5,5,4095,-0.009508953746889273,0.10561945523343497,-5.761237313903159,0.4766788766788767,0.009508953746889273,5.761237313903159,low_is_good
dist_ma20,dist_,sector_excess,fwd_sector_excess_5,5,4080,-0.011440674305761036,0.13088301706308594,-5.58339567941972,0.48137254901960785,0.011440674305761036,5.58339567941972,low_is_good
bb_pos,bb_,sector_excess,fwd_sector_excess_5,5,4080,-0.010401993046189722,0.12168272809257756,-5.46031506673013,0.47671568627450983,0.010401993046189722,5.46031506673013,low_is_good
rsi_7,rsi_,sector_excess,fwd_sector_excess_5,5,4092,-0.009869878545324392,0.11768000389767176,-5.365089199072697,0.4687194525904203,0.009869878545324392,5.365089199072697,low_is_good
xs_rank_sector_factor_mom_12_1,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,0.01591645045363471,0.19034625800127294,5.353537354815357,0.5552573798487436,0.01591645045363471,5.353537354815357,high_is_good
ret_10d,ret_,sector_excess,fwd_sector_excess_5,5,4089,-0.010699251177183152,0.12850208986859288,-5.324167961303477,0.4727317192467596,0.010699251177183152,5.324167961303477,low_is_good
xs_rank_market_ret_10d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4089,-0.010699251177183152,0.12850208986859288,-5.324167961303477,0.4727317192467596,0.010699251177183152,5.324167961303477,low_is_good
xs_rank_sector_factor_resid_mom_sector_12_1,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,0.015773260269744075,0.19037645405453915,5.304533485507491,0.5535496462551842,0.015773260269744075,5.304533485507491,high_is_good
xs_rank_market_factor_mom_12_1,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,0.013887550275721963,0.17229396278661935,5.160532807698354,0.5511100268358136,0.013887550275721963,5.160532807698354,high_is_good
sector_ratio_z20,sector_,sector_excess,fwd_sector_excess_5,5,4090,-0.0113345758320373,0.1431728588099145,-5.062980206724316,0.480440097799511,0.0113345758320373,5.062980206724316,low_is_good
factor_mom_12_1,factor_,sector_excess,fwd_sector_excess_5,5,3847,0.014225104453022651,0.17765528428612104,4.966362628974966,0.5505588770470496,0.014225104453022651,4.966362628974966,high_is_good
vol_ratio_5,vol_,sector_excess,fwd_sector_excess_5,5,4095,0.00696444091443814,0.09290689660927615,4.796950729958943,0.5352869352869353,0.00696444091443814,4.796950729958943,high_is_good
vol_ratio,vol_,sector_excess,fwd_sector_excess_5,5,4080,0.007071054778155653,0.09456936600802725,4.775994364395863,0.5345588235294118,0.007071054778155653,4.775994364395863,high_is_good
vol_pct_vs_20d,vol_,sector_excess,fwd_sector_excess_5,5,4095,0.006992006595342212,0.09442594301635449,4.738462539245436,0.5345543345543345,0.006992006595342212,4.738462539245436,high_is_good
xs_rank_sector_factor_idio_vol_252_spy,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,0.01240262187445981,0.16892737548254255,4.700590599602816,0.5503781410100025,0.01240262187445981,4.700590599602816,high_is_good
xs_rank_sector_ret_10d,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,-0.010569537556353393,0.14722515087629867,-4.5963483669222915,0.4879238838741156,0.010569537556353393,4.5963483669222915,low_is_good
rsi_divergence,rsi_,sector_excess,fwd_sector_excess_5,5,4080,0.00762063869012742,0.1074439223918894,4.530431814294387,0.5269607843137255,0.00762063869012742,4.530431814294387,high_is_good
sent_z_sent_afterhours,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.006087466398952521,0.08627189379778998,-4.517583667807021,0.4708465479385216,0.006087466398952521,4.517583667807021,low_is_good
sent_z_sentiment_delta,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.005498888951305239,0.08374108133134081,-4.204122324505234,0.46499146133203223,0.005498888951305239,4.204122324505234,low_is_good
xs_rank_sector_factor_beta_252_spy,xs_rank_sector_,sector_excess,fwd_sector_excess_5,5,4099,0.014127424106238691,0.22125355335824334,4.088007536905544,0.5503781410100025,0.014127424106238691,4.088007536905544,high_is_good
xs_rank_market_factor_resid_mom_sector_12_1,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,0.011369160450274073,0.18082859921347536,4.0253183838636275,0.5454989021712613,0.011369160450274073,4.0253183838636275,high_is_good
sent_decay_3d,sent_,sector_excess,fwd_sector_excess_5,5,971,-0.01119307559421309,0.08688964909028105,-4.014126073966888,0.45314109165808447,0.01119307559421309,4.014126073966888,low_is_good
ma_cross_5_20,ma_,sector_excess,fwd_sector_excess_5,5,4079,-0.007009582154458568,0.1124645418017491,-3.980644233386927,0.48001961265015936,0.007009582154458568,3.980644233386927,low_is_good
drawdown_20d,drawdown_,sector_excess,fwd_sector_excess_5,5,4095,-0.008481359121678503,0.13703818452600844,-3.9605072192236945,0.4778998778998779,0.008481359121678503,3.9605072192236945,low_is_good
factor_resid_mom_sector_12_1,factor_,sector_excess,fwd_sector_excess_5,5,3847,0.01157249425678675,0.18664817259492752,3.8456019099257968,0.5448401351702625,0.01157249425678675,3.8456019099257968,high_is_good
spy_vol10,spy_,sector_excess,fwd_sector_excess_5,5,4089,-0.005988234858208681,0.09974288259981769,-3.8390649970781086,0.4744436292492052,0.005988234858208681,3.8390649970781086,low_is_good
volume_chg_5d,volume_,sector_excess,fwd_sector_excess_5,5,4094,0.005179884675537784,0.09133785189375518,3.6286344246373097,0.5276013678553981,0.005179884675537784,3.6286344246373097,high_is_good
sector_rs_above_ma20,sector_,sector_excess,fwd_sector_excess_5,5,4095,-0.007506046668208781,0.13312284568366006,-3.6081586126664713,0.49352869352869355,0.007506046668208781,3.6081586126664713,low_is_good
sent_z_sent_pos,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.0043058604043142564,0.07716279536068607,-3.572653954781548,0.4701146621127104,0.0043058604043142564,3.572653954781548,low_is_good
sent_z_sent_premarket,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.005155828377310734,0.09322155816301826,-3.5409602699401703,0.480848987557941,0.005155828377310734,3.5409602699401703,low_is_good
sent_decay_1d,sent_,sector_excess,fwd_sector_excess_5,5,971,-0.009687994913854676,0.08678132177288642,-3.478702237027909,0.45314109165808447,0.009687994913854676,3.478702237027909,low_is_good
ret_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007140048080223461,0.1319362213813759,-3.4563200214161025,0.49718068153959305,0.007140048080223461,3.4563200214161025,low_is_good
xs_rank_market_ret_20d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4079,-0.007140048080223461,0.1319362213813759,-3.4563200214161025,0.49718068153959305,0.007140048080223461,3.4563200214161025,low_is_good
ret_vs_spy_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007084619022786491,0.13187010881432198,-3.431207551345902,0.49791615592056876,0.007084619022786491,3.431207551345902,low_is_good
ret_vs_qqq_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007054805715308437,0.13184111909313176,-3.4175197258491914,0.4976709977935769,0.007054805715308437,3.4175197258491914,low_is_good
rsi_14,rsi_,sector_excess,fwd_sector_excess_5,5,4085,-0.006332755305007651,0.12430066347185094,-3.2562316337017436,0.49228886168910646,0.006332755305007651,3.2562316337017436,low_is_good
xs_rank_market_rsi_14,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4085,-0.006332755305007651,0.12430066347185094,-3.2562316337017436,0.49228886168910646,0.006332755305007651,3.2562316337017436,low_is_good
obv_slope,obv_,sector_excess,fwd_sector_excess_5,5,4093,-0.004856835126753146,0.09656760071706516,-3.2176795620966088,0.4886391399951136,0.004856835126753146,3.2176795620966088,low_is_good
xs_rank_market_factor_idio_vol_252_spy,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,0.0070244983526727275,0.14161678303571623,3.1757005877116233,0.5279336423517931,0.0070244983526727275,3.1757005877116233,high_is_good
sent_neg_decay,sent_,sector_excess,fwd_sector_excess_5,5,971,0.008332605498093329,0.0824629475504045,3.148702157510585,0.5468589083419155,0.008332605498093329,3.148702157510585,high_is_good
sent_z_sent_neg,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,0.003785890430819043,0.08128078759023098,2.9820786722690555,0.5286655281776043,0.003785890430819043,2.9820786722690555,high_is_good
sent_pos_decay,sent_,sector_excess,fwd_sector_excess_5,5,971,0.007848131472126853,0.08293861994354387,2.9486218541586595,0.5478887744593203,0.007848131472126853,2.9486218541586595,high_is_good
sent_z_sentiment_accel,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.0035480790518437897,0.07752452287791008,-2.9301722057341117,0.4701146621127104,0.0035480790518437897,2.9301722057341117,low_is_good
factor_idio_vol_252_spy,factor_,sector_excess,fwd_sector_excess_5,5,3940,0.006556427072145616,0.14433766384545177,2.851252466443714,0.5236040609137056,0.006556427072145616,2.851252466443714,high_is_good
volume_chg_1d,volume_,sector_excess,fwd_sector_excess_5,5,4098,0.004046228332237878,0.09131827727305737,2.8364729997118876,0.5197657393850659,0.004046228332237878,2.8364729997118876,high_is_good
